Exchange,Date,Scrip Name,Buy/Sell,Qty,Rate,Net Amount,
NSE,07-04-2015,LA OPALA R G LI,SELL,-5,431.18,2155.9,
NSE,08-04-2015,SUN TV LIMITED,BUY,5,401.15,-2005.75,
NSE,20-04-2015,SUN TV LIMITED,BUY,3,364.11,-1092.33,
NSE,20-04-2015,SUN PHARMACEUTI,SELL,-1,1054.7,1054.7,
NSE,22-04-2015,RELIANCE INFRAS,BUY,3,424.86,-1274.58,
NSE,22-04-2015,RELIANCE CAPITA,BUY,3,420.34,-1261.02,
NSE,24-04-2015,TATA MOTORS LTD,BUY,3,516.77,-1550.31,
NSE,27-04-2015,INFOSYS LIMITE,BUY,1,1980.91,-1980.91,
NSE,27-04-2015,DLF LIMITED,BUY,10,127.53,-1275.3,
NSE,29-04-2015,GODREJ PROPERTI,BUY,5,238.69,-1193.45,
NSE,29-04-2015,CAIRN INDIA LTD,BUY,10,209.94,-2099.4,
NSE,05-05-2015,SHOPPERS STOP,BUY,5,360.64,-1803.2,
NSE,06-05-2015,RELIANCE CAPITA,BUY,3,398.73,-1196.19,
NSE,11-05-2015,PUNJAB N.BANK,BUY,12,146.23,-1754.76,
NSE,15-05-2015,TATA STEEL LTD,BUY,4,361.05,-1444.2,
NSE,27-05-2015,TATA MOTORS LTD,BUY,3,473.1,-1419.3,
NSE,28-05-2015,VEDANTA LTD,BUY,7,194.47,-1361.29,
NSE,29-05-2015,SHOPPERS STOP,SELL,-5,401.98,2009.9,
NSE,29-05-2015,COAL INDIA LTD,SELL,-12,390.99,4691.88,
NSE,29-05-2015,BHARTI AIRTEL,SELL,-5,420.54,2102.7,
NSE,02-06-2015,BANK OF INDIA,BUY,5,190.6,-953,
NSE,02-06-2015,BANK OF BARODA,BUY,6,160.4,-962.4,
NSE,03-06-2015,RELIANCE INFRAS,BUY,5,362.7,-1813.5,
NSE,03-06-2015,RELIANCE CAPITA,BUY,5,354.92,-1774.6,
NSE,08-06-2015,TECH MAHINDRA L,BUY,4,553.3,-2213.2,
NSE,08-06-2015,SUN TV LIMITED,BUY,6,266.22,-1597.32,
NSE,08-06-2015,SUN TV LIMITED,BUY,10,267.28,-2672.8,
NSE,08-06-2015,COAL INDIA LTD,SELL,-5,409.74,2048.7,
NSE,10-06-2015,I.D.B.I.,BUY,15,63.01,-945.15,
NSE,10-06-2015,I C I C I BANK,BUY,5,293.76,-1468.8,
NSE,11-06-2015,LA OPALA R G LI,BUY,5,350.75,-1753.75,
NSE,11-06-2015,DLF LIMITED,BUY,5,111.61,-558.05,
